day,country,cases,deaths,vaccinated,percentage,healthinvestments,economyrank
"
"
"
"
"
"
"
"
"
2021-02-13,India,"10,892,746
","155,550
","7,967,647",--,"1,160"
2021-02-13,Brazil,"9,811,255
","238,647
","4,586,270",2.2%,55
2021-02-13,United Kingdom,"4,027,106
","116,908
","14,012,224",20.6%,"1,015"
2021-02-13,France,"3,448,617
","81,647
","2,146,212",3.2%,354
2021-02-13,Spain,"3,056,035
","64,747
","1,422,560",3.0%,814
2021-02-13,Italy,"2,710,819
","93,356
","1,622,537",2.7%,462
2021-02-13,Turkey,"2,579,896
","27,377
","3,307,150",3.9%,927
2021-02-13,Germany,"2,336,905
","65,420
","2,635,673",3.2%,366
2021-02-13,Argentina,"2,021,538
","50,188
","368,023",0.8%,39
2021-02-13,Mexico,"1,978,954
","172,557
","640,115",0.5%,104
2021-02-13,Poland,"1,583,621
","40,709
","1,446,102",3.8%,659
2021-02-13,Iran,"1,510,873
","58,883
","3,000",0.0%,168
2021-02-13,Peru,"1,227,205
","43,491
","67,546",0.2%,117
2021-02-13,Indonesia,"1,210,703
","32,936
","1,017,186",0.4%,"1,282"
2021-02-13,Czech Republic,"1,082,849
","18,058
","283,453",2.7%,302
2021-02-13,Netherlands,"1,025,837
","14,793
","518,710",--,620
2021-02-13,Canada,"823,048
","21,213
","1,221,539",--,55
2021-02-13,Portugal,"784,079
","15,183
","310,715",3.1%,688
2021-02-13,Chile,"772,395
","19,443
","1,792,718",9.4%,57
2021-02-13,Romania,"760,091
","19,325
","970,967",5.0%,696
2021-02-13,Belgium,"735,220
","21,599
","355,645",3.1%,268
2021-02-13,Israel,"721,846
","5,351
","3,780,718",43.7%,439
2021-02-13,Sweden,"608,411
","12,428
","341,656",3.4%,823
2021-02-13,Switzerland,"540,727
","9,031
","481,405",--,837
2021-02-13,Bangladesh,"540,266
","8,266
","337,769",0.2%,"1,034"
2021-02-13,Morocco,"478,135
","8,460
","1,112,103",--,184
2021-02-13,Austria,"432,303
","8,195
","229,317",2.6%,231
2021-02-13,Serbia,"419,493
","4,214
","636,119",9.4%,740
2021-02-13,Hungary,"385,755
","13,636
","330,745",3.4%,374
2021-02-13,Saudi Arabia,"372,410
","6,429
","444,465",--,210
2021-02-13,United Arab Emirates,"345,605
","1,001
","4,901,795",--,220
2021-02-13,Panama,"330,985
","5,595
","12,441",--,109
2021-02-13,Slovakia,"276,234
","5,812
","220,826",4.0%,748
2021-02-13,Nepal,"272,614
","2,054
","158,487",--,"1,460"
2021-02-13,Ecuador,"265,527
","15,269
","6,228",0.0%,71
2021-02-13,Croatia,"237,459
","5,299
","64,775",1.6%,283
2021-02-13,Bulgaria,"229,516
","9,608
","54,123",0.8%,282
2021-02-13,Ireland,"208,796
","3,931
","158,904",3.2%,398
2021-02-13,Denmark,"203,793
","2,280
","212,206",3.7%,313
2021-02-13,Costa Rica,"199,187
","2,714
","46,750",0.9%,65
2021-02-13,Lithuania,"190,241
","3,057
","97,384",3.6%,548
2021-02-13,Slovenia,"178,133
","3,692
","69,912",3.4%,799
2021-02-13,Kuwait,"176,903
","998
","35,000",--,181
2021-02-13,Egypt,"173,202
","9,935
","1,315",--,164
2021-02-13,Greece,"170,244
","6,077
","366,749",3.5%,367
2021-02-13,Qatar,"156,804
","255
","50,000",--,208
2021-02-13,Myanmar,"141,585
","3,188
","103,142",--,"1,422"
2021-02-13,Oman,"136,622
","1,539
","55,013",1.1%,196
2021-02-13,Bosnia and Herzegovina,"125,402
","4,881
",30,0.0%,279
2021-02-13,Bahrain,"111,312
","397
","232,540",13.7%,159
2021-02-13,Algeria,"110,303
","2,932
",30,--,3
2021-02-13,Albania,"91,987
","1,543
",689,0.0%,222
2021-02-13,Latvia,"75,509
","1,431
","20,429",1.1%,521
2021-02-13,Sri Lanka,"74,852
","390
","176,725",--,"1,486"
2021-02-13,Norway,"66,236
","592
","221,819",4.1%,658
2021-02-13,Singapore,"59,721
","29
","250,000",4.3%,"5,215"
2021-02-13,Luxembourg,"52,539
","606
","16,131",2.6%,553
2021-02-13,Estonia,"51,749
","491
","44,486",3.4%,318
2021-02-13,Finland,"50,007
","710
","197,540",3.6%,343
2021-02-13,Cyprus,"32,288
","219
","41,673",4.8%,284
2021-02-13,Malta,"19,651
","290
","32,524",7.4%,554
2021-02-13,Maldives,"17,387
","56
","25,327",--,"1,361"
2021-02-13,Andorra,"10,427
","106
","1,291",1.7%,225
2021-02-13,Iceland,"6,033
","29
","14,086",4.1%,377
2021-02-13,Seychelles,"1,768
","7
","37,952",38.6%,21
2021-02-13,Monaco,"1,752
","21
","2,400",--,585
2021-02-13,Mauritius,"595
","10
",207,0.0%,16
2021-02-13,Marshall Islands,"4
","0
","4,980",8.5%,"3,441"
"
"
2021-02-14,India,"10,892,746
","155,550
","7,967,647",--,"1,160"
2021-02-14,India,"10,892,746
","155,550
","8,263,858",--,"1,160"
2021-02-14,Brazil,"9,811,255
","238,647
","4,586,270",2.2%,55
2021-02-14,Brazil,"9,811,255
","238,647
","4,586,270",2.2%,55
2021-02-14,United Kingdom,"4,027,106
","116,908
","14,012,224",20.6%,"1,015"
